mse,mae,rmse,rse,mape,wape,smape,config,dataset,run
0.002062471328338724,0.017086909732384328,0.04541443964576381,0.1028653427984835,0.29336917502216975,0.15459864046553407,28.538498667399242,no_global_branch,ABILENE,2
0.0029953160297734667,0.023458438518478553,0.05472948044494363,0.14939078471486902,0.44969346956575246,0.21224684622331855,34.52436035428032,static_average,ABILENE,2
0.0029565169615376422,0.02221714663173643,0.05437386285282334,0.1474556889879604,0.433957918235852,0.20101590738670003,33.45652292922324,full_3branch,ABILENE,3
0.003808123347234586,0.02882006867495262,0.06170999390078228,0.18992938624156255,0.5616432221480827,0.26075770897452205,39.71661512519722,no_ml_branch,ABILENE,3
0.0020604542491658596,0.017073966307360786,0.04539222674826451,0.10276474138031226,0.2922711451802232,0.1544815311729266,28.541918540632665,no_global_branch,ABILENE,3
0.0029977227822961102,0.023522748919166,0.054751463745694604,0.14951082101300864,0.4558377055766656,0.2128287127322303,34.63098247470434,static_average,ABILENE,3
0.0034676667034020483,0.025482457697004978,0.058886897552868654,0.17294917958624675,0.4963559902994721,0.23055973124332318,36.289094611501774,full_3branch,ABILENE,4
0.003787052301959384,0.02873341582525565,0.061539030720018525,0.18887847209523023,0.5570038539567304,0.25997369284958016,39.73273413323985,no_ml_branch,ABILENE,4
0.002061247036925707,0.017068380952364254,0.04540095854633145,0.10280428151042832,0.29131268080066974,0.15443099609651398,28.53398397207923,no_global_branch,ABILENE,4
0.0029873103103795384,0.023457822065852653,0.054656292504884914,0.1489915010698119,0.45188647967430134,0.21224126869412405,34.57051889337981,static_average,ABILENE,4
0.0021322955418713587,0.016976940358277213,0.046176785746426294,0.10634781140882502,0.2906342070749518,0.15360366150233487,28.385529726433283,full_3branch,ABILENE,5
0.0020997487652899757,0.017208193505995263,0.045823015672148595,0.10472454747102944,0.28688241504411616,0.1556959896529792,30.137944569394413,no_ml_branch,ABILENE,5
0.002066686674676988,0.017087802999243333,0.04546082571486123,0.10307558234952209,0.2904953937285165,0.15460672254966384,28.506367150393224,no_global_branch,ABILENE,5
0.0019553952872601184,0.016880481138697955,0.044219851732679054,0.09752494677953513,0.28377578992411584,0.15273091947695527,28.661540980576035,static_average,ABILENE,5
0.0019095975733272636,0.01675501196977628,0.043698942473786064,0.09524079500570921,0.2832986959711816,0.15159570174364753,28.557633542492095,full_3branch,ABILENE,6
0.0020893865555637356,0.01718757636091089,0.045709808089333906,0.10420773434446924,0.28695996350728825,0.1555094502113689,30.10571082152441,no_ml_branch,ABILENE,6
0.0020572319573326408,0.017074013553214005,0.04535671898773809,0.10260403022303874,0.292031238833345,0.15448195864312395,28.516137494084585,no_global_branch,ABILENE,6
0.0019464883654551604,0.01686247534130229,0.04411902498305193,0.09708071584543324,0.28460841163050227,0.15256800694089898,28.65102975520421,static_average,ABILENE,6
0.001976823672739735,0.016850701589547608,0.04446148527365831,0.09859368319671204,0.28615626104524106,0.1524614805974606,28.486360852016762,full_3branch,ABILENE,7
0.0020788195313628803,0.017185951932968513,0.045594073423668564,0.10368070613716981,0.28791259698994237,0.15549475274088656,30.21673730328721,no_ml_branch,ABILENE,7
0.002068554867941016,0.017098315304426098,0.0454813683604728,0.10316875811292667,0.29219040557565656,0.1547018355990606,28.515252372860502,no_global_branch,ABILENE,7
0.0019495324868788705,0.01686955661936468,0.04415351047061684,0.09723254078935736,0.2845803116877541,0.15263207680363894,28.677069394501775,static_average,ABILENE,7
0.0019454237118971904,0.016794065473196427,0.044106957635923955,0.09702761646330005,0.2834526125294227,0.151949049342993,28.74271624158983,full_3branch,ABILENE,8
0.0020879219681205654,0.017192709683918377,0.04569378478656113,0.10413468834022666,0.28791673096957127,0.15555589540072481,30.294164029842698,no_ml_branch,ABILENE,8
0.0020549839420258525,0.017068279824886706,0.04533193071142958,0.10249191091162252,0.2933157804299983,0.15443008111710652,28.545899061417817,no_global_branch,ABILENE,8
0.0019455711528836642,0.01684672883014904,0.044108629007073706,0.09703497005285437,0.2847399189508989,0.15242553593505326,28.749219509603275,static_average,ABILENE,8
0.0019174437546029916,0.01675419716557313,0.043788625858811686,0.09563212171919955,0.2795164650427373,0.15158832957255133,29.014504991046643,full_3branch,ABILENE,9
0.0020875817706855634,0.01719133164597952,0.0456900620560485,0.10411772106155964,0.28707886855136755,0.15554342721337006,30.31304788719897,no_ml_branch,ABILENE,9
0.002061004363116585,0.017076845716907183,0.04539828590504916,0.10279217820299294,0.2918824721809169,0.15450758344382803,28.535476154680918,no_global_branch,ABILENE,9
0.0019514258294379139,0.016855293760315797,0.04417494572082589,0.09732697086879406,0.2833983745192728,0.15250302955913164,28.751374087537346,static_average,ABILENE,9
